State,giniCoefficient,Pop2020,PopGrowthfrom2018,PopDensity,WhitePerc,BlackPerc,NativePerc,AsianPerc,IslanderPerc,OtherRacePerc,TwoOrMoreRacesPerc,MedianAge,AvgHouseholdIncome,incomeTax,costRank,groceryCost,housingCost,utilitiesCost,transportationCost,miscCost,UnemploymentRate,RealGDP2019,votesTrump_percent2020,votesBiden_percent,VEP Turnout Rate (Total Ballots Counted),HomicideRate2017(per100k),TotalHomicides2017,TrumpApproval_perc,TrumpDisapproval_perc,TrumpnetChangeSinceOffice_perc,BachelorsDegreeHolders2018_perc,Age0-18_perc,Age19-25_perc,Age26-34_perc,Age35-54_perc,Age55-64_perc,Age65+_perc,NrLawEnforcementAgencies,TotalLawEnforcementEmployees_per1000,ACLEDProtestCount,HealthInsuranceCoverageByEmployer,HealthInsuranceCoverageByMedicaid,HealthInsuranceCoverageByMedicare,Uninsured,LifeExpectancyAtBirth_years,HealthSpendingperCapita,ACLEDViolentProtestCount
Hawaii,43.69,1412690.0,-0.0055,219.9424,0.2501,0.0185,0.0021,0.3775,0.1008,0.0108,0.2403,38.9,99765.0,11.0,192.9,169.3,318.6,172.7,148.6,116.8,0.101,82471.4,0.343,0.637,0.575,0.025,35.0,0.38,0.59,-0.08,0.353,0.228,0.07200000000000001,0.11599999999999999,0.255,0.132,0.19699999999999998,4.0,2.49,98,0.5429999999999999,0.17600000000000002,0.159,0.041,82.0,7299.0,5.0
Idaho,44.57,1826160.0,0.041,22.097,0.9049,0.0068,0.0135,0.0141,0.0016,0.0315,0.0276,36.1,70620.0,6.925,92.3,92.2,87.1,82.9,106.7,97.3,0.048,74937.1,0.639,0.331,0.677,0.03,50.0,0.58,0.39,-0.1,0.292,0.267,0.085,0.12,0.242,0.125,0.162,110.0,3.22,156,0.49,0.156,0.15,0.105,79.4,6927.0,32.0
Illinois,47.89,12659700.0,-0.0064,228.0246,0.7167,0.1423,0.0025,0.0539,0.0004,0.0595,0.0248,37.9,88857.0,4.95,94.5,94.2,87.2,100.9,100.9,99.0,0.069,773135.5,0.405,0.5760000000000001,0.67,0.09,1120.0,0.39,0.57,-0.27,0.414,0.237,0.087,0.126,0.258,0.132,0.16,432.0,4.17,803,0.546,0.182,0.141,0.073,79.3,8262.0,72.0
Indiana,44.94,6745350.0,0.008,188.2809,0.8359,0.0933,0.0022,0.0218,0.0004,0.0218,0.0245,37.6,71912.0,3.23,90.0,93.3,77.3,97.0,93.1,94.3,0.05,337636.1,0.5710000000000001,0.41,0.614,0.07200000000000001,456.0,0.53,0.44,-0.13,0.315,0.24600000000000002,0.091,0.11800000000000001,0.25,0.134,0.161,109.0,3.04,345,0.5329999999999999,0.177,0.14800000000000002,0.08800000000000001,77.4,8300.0,34.0
Iowa,44.22,3179850.0,0.0075,56.9284,0.9028,0.0351,0.0037,0.024,0.001,0.0125,0.021,38.1,75951.0,8.53,90.1,95.9,79.6,95.3,95.5,97.8,0.036000000000000004,173515.4,0.532,0.45,0.732,0.034,104.0,0.46,0.51,-0.14,0.354,0.244,0.08900000000000001,0.114,0.243,0.136,0.174,234.0,2.72,222,0.544,0.195,0.156,0.047,79.6,8200.0,27.0
Kansas,45.55,2910360.0,-0.0004,35.5968,0.8459,0.0584,0.0083,0.0287,0.0007,0.0232,0.0347,36.5,77509.0,5.7,89.0,91.9,73.8,103.0,92.3,98.9,0.056,160059.3,0.565,0.413,0.659,0.065,185.0,0.51,0.47,-0.2,0.373,0.257,0.092,0.11599999999999999,0.24100000000000002,0.131,0.16399999999999998,314.0,3.74,186,0.5429999999999999,0.139,0.15,0.092,78.6,7651.0,19.0
Kentucky,47.41,4499690.0,0.006999999999999999,113.9566,0.8708,0.0798,0.0022,0.0141,0.0006,0.0099,0.0225,38.7,67110.0,5.0,90.9,89.9,77.4,97.6,92.8,89.2,0.056,190811.5,0.621,0.362,0.649,0.073,310.0,0.57,0.4,-0.17,0.29,0.237,0.08900000000000001,0.114,0.254,0.13699999999999998,0.17,300.0,2.57,379,0.47,0.255,0.158,0.064,75.9,8004.0,64.0
Louisiana,49.03,4645180.0,-0.0032,107.5174,0.6221,0.3223,0.0056,0.0171,0.0003,0.013,0.0196,36.6,68823.0,6.0,93.9,99.9,86.6,89.3,98.5,98.8,0.083,239967.2,0.585,0.399,0.6459999999999999,0.14400000000000002,653.0,0.59,0.38,-0.1,0.269,0.25,0.08800000000000001,0.12300000000000001,0.248,0.132,0.16,167.0,4.73,252,0.418,0.293,0.13699999999999998,0.08900000000000001,76.0,7815.0,23.0
Maine,45.15,1345790.0,0.0055,43.6336,0.9448,0.0134,0.0062,0.0112,0.0002,0.0022,0.0219,44.6,73210.0,7.15,117.5,107.0,123.1,116.1,121.4,121.8,0.05,58793.3,0.44,0.531,0.763,0.014,19.0,0.46,0.52,-0.14,0.361,0.19,0.075,0.11,0.252,0.16,0.213,134.0,2.05,175,0.465,0.2,0.183,0.081,79.6,9531.0,9.0
Maryland,45.13,6083120.0,0.0067,626.6735,0.5619,0.2978,0.0026,0.0623,0.0005,0.0416,0.0332,38.6,107482.0,5.75,129.7,108.5,184.5,107.3,116.7,89.2,0.068,374039.3,0.324,0.6579999999999999,0.7070000000000001,0.102,587.0,0.36,0.61,-0.12,0.439,0.233,0.081,0.12300000000000001,0.265,0.138,0.16,128.0,3.45,344,0.547,0.187,0.133,0.059,79.6,8602.0,15.0
