date,corrected,state
2020-06-08,0.0672,Indiana
2020-06-08,0.0816,Iowa
2020-06-08,0.0648,Kansas
2020-06-08,0.0792,Kentucky
2020-06-08,0.0696,Louisiana
2020-06-08,0.0888,Maine
2020-06-08,0.0888,Maryland
2020-06-08,0.0984,Massachusetts
2020-06-08,0.0816,Michigan
2020-06-08,0.072,Minnesota
2020-06-08,0.0648,Mississippi
2020-06-08,0.0888,Missouri
2020-06-08,0.0984,Montana
2020-06-08,0.0792,Nebraska
2020-06-08,0.0936,Nevada
2020-06-08,0.0864,New Hampshire
2020-06-08,0.0984,New Jersey
2020-06-08,0.0552,New Mexico
2020-06-08,0.0936,New York
2020-06-08,0.0768,North Carolina
2020-06-08,0.0504,North Dakota
2020-06-08,0.0864,Ohio
2020-06-08,0.0744,Oklahoma
2020-06-08,0.168,Oregon
2020-06-08,0.0984,Pennsylvania
2020-06-08,0.0816,Rhode Island
2020-06-08,0.0792,South Carolina
2020-06-08,0.0648,South Dakota
2020-06-08,0.0888,Tennessee
2020-06-08,0.0768,Texas
2020-06-08,0.0864,Utah
2020-06-08,0.0792,Vermont
2020-06-08,0.1008,Virginia
2020-06-08,0.24,Washington
2020-06-08,0.0384,West Virginia
2020-06-08,0.0864,Wisconsin
2020-06-08,0.0864,Wyoming
2020-06-15,0.03148571428571429,Alabama
2020-06-15,0.023885714285714284,Alaska
2020-06-15,0.04017142857142857,Arizona
2020-06-15,0.03691428571428572,Arkansas
2020-06-15,0.05645714285714286,California
2020-06-15,0.043428571428571434,Colorado
2020-06-15,0.035828571428571425,Connecticut
2020-06-15,0.05211428571428571,Delaware
2020-06-15,0.038,Florida
2020-06-15,0.05211428571428571,Georgia
2020-06-15,0.04125714285714286,Hawaii
2020-06-15,0.04668571428571429,Idaho
2020-06-15,0.044514285714285715,Illinois
2020-06-15,0.03257142857142857,Indiana
2020-06-15,0.04234285714285715,Iowa
2020-06-15,0.039085714285714286,Kansas
2020-06-15,0.05211428571428571,Kentucky
2020-06-15,0.04125714285714286,Louisiana
2020-06-15,0.04777142857142857,Maine
2020-06-15,0.044514285714285715,Maryland
